 Format                 IAGA-2002                                    |
 Source of Data         WDC for Geomagnetism, Kyoto                  |
 Station Name           AE Indices                                   |
 IAGA CODE              AE                                           |
 Geodetic Latitude                                                   |
 Geodetic Longitude                                                  |
 Elevation                                                           |
 Reported               AE,AU,AL,AO                                  |
 Sensor Orientation                                                  |
 Digital Sampling                                                    |
 Data Interval Type     1-hour                                       |
 Data Type              Provisional                                  |
 # Converted to IAGA2002 format                                      |
 #   by WDC for Geomagnetism, Kyoto. 2016-06-01                      |
 # The values in the raw of 00:00:00:00.000 are those converted      |
 #  from those in the column of 21-24 which are usually              |
 #  the mean values between 00:00UT and 01:00UT, etc..               |
DATE       TIME         DOY     AE        AU        AL        AO     |
2009-07-20 00:00:00.000 201        28.00     12.00    -17.00     -3.00
2009-07-20 01:00:00.000 201        39.00     20.00    -19.00      1.00
2009-07-20 02:00:00.000 201        45.00     28.00    -16.00      6.00
2009-07-20 03:00:00.000 201        40.00     29.00    -12.00      9.00
2009-07-20 04:00:00.000 201        43.00     36.00     -8.00     14.00
2009-07-20 05:00:00.000 201        27.00     23.00     -4.00     10.00
2009-07-20 06:00:00.000 201        28.00     27.00     -1.00     13.00
2009-07-20 07:00:00.000 201        52.00     45.00     -7.00     19.00
2009-07-20 08:00:00.000 201       137.00     74.00    -63.00      5.00
2009-07-20 09:00:00.000 201       322.00     70.00   -252.00    -91.00
2009-07-20 10:00:00.000 201       308.00    119.00   -189.00    -36.00
2009-07-20 11:00:00.000 201       285.00    119.00   -166.00    -23.00
2009-07-20 12:00:00.000 201       383.00    162.00   -221.00    -30.00
2009-07-20 13:00:00.000 201       283.00    111.00   -172.00    -31.00
2009-07-20 14:00:00.000 201       447.00    162.00   -284.00    -61.00
2009-07-20 15:00:00.000 201       469.00    166.00   -303.00    -69.00
2009-07-20 16:00:00.000 201       233.00     98.00   -135.00    -19.00
2009-07-20 17:00:00.000 201       208.00     54.00   -154.00    -50.00
2009-07-20 18:00:00.000 201        46.00     33.00    -13.00     11.00
2009-07-20 19:00:00.000 201        50.00     37.00    -12.00     13.00
2009-07-20 20:00:00.000 201        33.00     22.00    -11.00      6.00
2009-07-20 21:00:00.000 201        30.00     22.00     -8.00      8.00
2009-07-20 22:00:00.000 201        38.00     24.00    -15.00      5.00
2009-07-20 23:00:00.000 201        46.00     24.00    -23.00      1.00
2009-07-21 00:00:00.000 202        42.00     18.00    -24.00     -3.00
2009-07-21 01:00:00.000 202        47.00     16.00    -30.00     -7.00
2009-07-21 02:00:00.000 202        37.00     13.00    -24.00     -6.00
2009-07-21 03:00:00.000 202        30.00     14.00    -16.00     -1.00
2009-07-21 04:00:00.000 202        19.00     16.00     -3.00      7.00
2009-07-21 05:00:00.000 202        26.00     28.00      2.00     15.00
2009-07-21 06:00:00.000 202        25.00     25.00      0.00     12.00
2009-07-21 07:00:00.000 202       118.00     52.00    -67.00     -8.00
2009-07-21 08:00:00.000 202        80.00     52.00    -29.00     12.00
2009-07-21 09:00:00.000 202        51.00     24.00    -26.00     -1.00
2009-07-21 10:00:00.000 202        52.00     27.00    -25.00      1.00
2009-07-21 11:00:00.000 202       122.00     24.00    -98.00    -37.00
2009-07-21 12:00:00.000 202       108.00     36.00    -72.00    -18.00
2009-07-21 13:00:00.000 202        76.00     31.00    -45.00     -8.00
2009-07-21 14:00:00.000 202       106.00     36.00    -70.00    -17.00
2009-07-21 15:00:00.000 202       144.00     40.00   -104.00    -32.00
2009-07-21 16:00:00.000 202       168.00     50.00   -118.00    -35.00
2009-07-21 17:00:00.000 202       241.00     65.00   -176.00    -56.00
2009-07-21 18:00:00.000 202       173.00     64.00   -109.00    -22.00
2009-07-21 19:00:00.000 202        98.00     64.00    -33.00     16.00
2009-07-21 20:00:00.000 202        87.00     62.00    -24.00     19.00
2009-07-21 21:00:00.000 202        74.00     53.00    -21.00     16.00
2009-07-21 22:00:00.000 202        82.00     59.00    -24.00     18.00
2009-07-21 23:00:00.000 202       130.00     84.00    -46.00     19.00
2009-07-22 00:00:00.000 203       202.00    124.00    -79.00     23.00
2009-07-22 01:00:00.000 203       384.00    222.00   -162.00     30.00
2009-07-22 02:00:00.000 203       517.00    201.00   -316.00    -58.00
2009-07-22 03:00:00.000 203      1051.00    305.00   -746.00   -221.00
2009-07-22 04:00:00.000 203      1058.00    215.00   -843.00   -314.00
2009-07-22 05:00:00.000 203       872.00    257.00   -615.00   -179.00
2009-07-22 06:00:00.000 203       480.00    256.00   -224.00     16.00
2009-07-22 07:00:00.000 203       173.00    136.00    -37.00     50.00
2009-07-22 08:00:00.000 203       596.00    215.00   -381.00    -83.00
2009-07-22 09:00:00.000 203       622.00    197.00   -425.00   -115.00
2009-07-22 10:00:00.000 203       152.00     84.00    -69.00      8.00
2009-07-22 11:00:00.000 203       155.00     72.00    -83.00     -6.00
2009-07-22 12:00:00.000 203       151.00     55.00    -96.00    -21.00
2009-07-22 13:00:00.000 203       166.00     30.00   -137.00    -54.00
2009-07-22 14:00:00.000 203       196.00     49.00   -147.00    -49.00
2009-07-22 15:00:00.000 203       217.00     65.00   -152.00    -44.00
2009-07-22 16:00:00.000 203       227.00     98.00   -129.00    -16.00
2009-07-22 17:00:00.000 203       312.00     92.00   -220.00    -65.00
2009-07-22 18:00:00.000 203       377.00    128.00   -249.00    -61.00
2009-07-22 19:00:00.000 203       280.00    127.00   -153.00    -14.00
2009-07-22 20:00:00.000 203       134.00     64.00    -70.00     -3.00
2009-07-22 21:00:00.000 203       113.00     57.00    -56.00      0.00
2009-07-22 22:00:00.000 203       122.00     62.00    -59.00      2.00
2009-07-22 23:00:00.000 203       111.00     65.00    -46.00     10.00
2009-07-23 00:00:00.000 204        77.00     39.00    -38.00      1.00
2009-07-23 01:00:00.000 204        40.00      4.00    -35.00    -16.00
2009-07-23 02:00:00.000 204        48.00     20.00    -28.00     -4.00
2009-07-23 03:00:00.000 204        48.00     17.00    -31.00     -7.00
2009-07-23 04:00:00.000 204       112.00     66.00    -47.00      9.00
2009-07-23 05:00:00.000 204       136.00     84.00    -53.00     16.00
2009-07-23 06:00:00.000 204       381.00    132.00   -248.00    -58.00
2009-07-23 07:00:00.000 204       263.00    104.00   -160.00    -28.00
2009-07-23 08:00:00.000 204       122.00     61.00    -61.00      0.00
2009-07-23 09:00:00.000 204        43.00     16.00    -27.00     -5.00
2009-07-23 10:00:00.000 204        57.00     37.00    -19.00      9.00
2009-07-23 11:00:00.000 204        57.00     27.00    -30.00     -1.00
2009-07-23 12:00:00.000 204       131.00     48.00    -83.00    -18.00
2009-07-23 13:00:00.000 204       196.00     69.00   -127.00    -29.00
2009-07-23 14:00:00.000 204       196.00     31.00   -165.00    -67.00
2009-07-23 15:00:00.000 204       263.00     79.00   -184.00    -53.00
2009-07-23 16:00:00.000 204       260.00     70.00   -190.00    -60.00
2009-07-23 17:00:00.000 204       106.00     46.00    -59.00     -6.00
2009-07-23 18:00:00.000 204        91.00     55.00    -36.00     10.00
2009-07-23 19:00:00.000 204       121.00     56.00    -65.00     -5.00
